No.,Tanggal Iklan,URL,Harga,Kota,LT (m²),LB (m²),KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
1,27 September 2019,https://www.rumah123.com/properti/lombok-barat/hos5049423/,Rp. 1.250.000.000,"Batu Layar, Lombok Barat",191,198,5,3,0,0,0,0,0,SHM,Rumah nuansa villa di Meninting,"Rumah nuansa villa di Meninting code : 808 Luas tanah 191 m2 Luas bangunan 198 m2 Lantai 2 Terdiri dari 5 kamar tidur + 3 kamar mandi Ruang tamu, ruang keluarga, dapur. SHM harga Rp 1.25 Milyar More info +6287765435258 / +6282144681128"
2,30 Oktober 2019,https://www.rumah123.com/properti/lombok-barat/hos5224742/,Rp. 990.000.000,"Senggigi, Lombok Barat",150,90,2,1,0,0,0,0,0,SHM,Rumah di Green valley Senggigi,"Rumah di Green valley Senggigi kode: 244 luas tanah 150 m2 Terdiri dari 2 kamar tidur + 1 kamar mandi Ruang tamu, ruang makan, dapur include furniture Harga Rp. 990 Juta"
3,5 November 2019,https://www.rumah123.com/properti/lombok-barat/hos5275684/,Rp. 1.900.000.000,"Senggigi, Lombok Barat",300,100,2,2,0,0,0,0,0,SHM,Villa di stangi dekat pantai,"Villa di stangi dekat pantai code : 247 Luas tanah 300 m2 Terdiri dari 2 kamar tidur+2 kamar mandi Ruang tamu, ruang keluarga, dapur Kolam renang pribadi Sekitar 150 meter dari pantai stangi Harga Rp 1,9 Milyar"
4,13 Februari 2020,https://www.rumah123.com/properti/lombok-barat/hos6118860/,Rp. 370.000.000,"Gunung Sari, Lombok Barat",120,56,2,1,0,0,0,0,1300,SHM,Rumah Cluster Taman Nyiur Gading Sesela Lombok barat R134,"Rumah Cluster Taman Nyiur Gading Sesela Lombok barat HANYA TINGGAL 1 UNIT SAJA!!! Lokasi : Jl. Sesela Raya, Sesela Luas : Bangunan 56 M2 / Tanah 120 M2 Harga : Rp. 370.000.000/global Keterangan : Perumahan dengan sistem cluster 1 pintu, terdiri dari 18 unit rumah. Dengan 2 kamar tidur dan 1 kamar mandi, Carport dengan awning, sudah dipasang teralis, listrik 1.300 watt, PDAM. Kualitas bangunan bagus. Lebar jalan 7 meter. Lokasi dekat dengan Puskesmas, pasar seni dan indomaret. SHM."
5,14 Februari 2020,https://www.rumah123.com/properti/lombok-barat/hos6126128/,Rp. 158.000.000,"Batu Layar, Lombok Barat",70,26,2,1,0,0,0,0,0,SHM,Rumah subsidi Batulayar Lombok barat S004,"Bila saat ini anda sedang atau akan berencana untuk memiliki rumah bersubsidi, menginginkan rumah bersubsidi berkualitas, letaknya mudah dijangkau, dekat dengan pusat kota, bahkan Di dalam kawasan yang tergolong komersil maka yang kami miliki sesuai dengan yang anda inginkan!! Perumahan bersubsidi berkualitas, Hanya 2 menit dari Mataram! Gerbang tepat di pinggir Jalan raya meninting yang merupakan jalur utama menuju kawasan wisata senggigi, Ready Unit dan siap dihuni! Menjadikan perumahan ini pilihan hunian terbaik di kelasnya! Bergabunglah dengan 200 pembeli yang puas dengan pilihan rumah bersubsidi mereka! Pesan sekarang juga, sebelum kehabisan! Tidak perlu booking Fee, langsung DP. Bila tidak lolos Bi checking, DP dipotong 30%. Keterangan : 2 kamar tidur, tidak couple. Perkiraan biaya2 yang timbul mulai booking hingga terima kunci."
6,4 September 2020,https://www.rumah123.com/properti/lombok-barat/hos7260350/,Rp. 416.300.000,"Labuapi, Lombok Barat",102,40,2,1,0,0,1,0,0,SHM,Rumah dan Tanah kavling di Perumahan Griya Taman Sari Labu Api R172,"Rumah dan Tanah kavling di Perumahan Griya Taman Sari Labu Api. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Lokasi strategis, berada di jalur Bypass BIL, dekat ke Mataram sekitar 3 menit dan 10 menit ke kantor pemerintahan. Sistem pembayaran bisa cash, cash bertahap maupun KPR. *Tanah kavling yg bisa dibeli hanya bagian hook saja."
7,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7291829/,Rp. 168.000.000,"Labuapi, Lombok Barat",75,28,2,1,0,0,0,0,0,SHM,Rumah subsidi Bale Agung 2 di Kediri Lombok barat S040,"Keterangan :Rumah subsidi Bale Agung 2 Banyumulek Kediri Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Type bangunan single dengan 3 model rumah dan denah. Unit rumah sudah ready siap ditempati. Lokasi strategis, Akses jalan bypass BIL, di depan Puskesmas Banyumulek dengan lebar jalan utama 9 meter. Dilengkapi dengan IMB dan SHM."
8,17 September 2020,https://www.rumah123.com/properti/lombok-barat/hos7324163/,Rp. 375.000.000,"Gunung Sari, Lombok Barat",100,47,2,1,0,0,1,0,1300,SHM,RUMAH ASRI SIAP HUNI,"lokasi berada di daerah aman, dekat dengan daerah wisata senggigi, dekat dengan pusat kota Mataram, tinggal di tempati"
9,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7438181/,Rp. 168.000.000,"Kediri, Lombok Barat",75,28,2,1,0,0,0,0,0,SHM,Rumah subsidi Bale Agung 2 di Kediri Lombok barat S040,"Keterangan :Rumah subsidi Bale Agung 2 Banyumulek Kediri Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Type bangunan single dengan 3 model rumah dan denah. Unit rumah sudah ready siap ditempati. Lokasi strategis, Akses jalan bypass BIL, di depan Puskesmas Banyumulek dengan lebar jalan utama 9 meter. Dilengkapi dengan IMB dan SHM."
10,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7438487/,Rp. 168.000.000,"Gunung Sari, Lombok Barat",72,30,2,1,0,0,0,0,0,SHM,"Rumah subsidi ""Lilir Rumah Kita"" Gunungsari Lombok barat S041","Rumah subsidi ""Lilir Rumah Kita"" Gunungsari Lombok barat Lokasi : Jl. Kekeri Mambalan Gunung sari Luas : 30/72 M2 Harga : Rp. 168,000,000 Keterangan : Rumah subsidi Lilir Rumah Kita Gunungsari Lombok barat dengan konsep bangunan Villa timur tengah standar Eropa. Terdiri dari 2 kamar tidur, 1 kamar mandi, 1 dapur khusus, halaman depan dan belakang luas. SHM. Proses pembangunan 40 unit, progres sudah mencapai 70%. Total yg akan dibangun 118 unit, dan sudah terbooking 57 unit. Biaya kelebihan tanah Rp. 1,500,000/M2. NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 082341777336"
11,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7438770/,Rp. 375.000.000,"Labuapi, Lombok Barat",100,40,2,1,0,0,0,0,0,SHM,Perumahan Grand muslim 2 Labu Api Lombok barat R180,"Perumahan Grand muslim 2 Labu Api Lombok barat Lokasi : Terong tawah Labu Api Luas : 40/100 M2 Harga : Rp. 375,000,000 Keterangan : Perumahan Grand muslim 2 Labu Api Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Gratis pemasangan gerbang dan pagar keliling. Lokasi sangat dekat ke jalan Lingkar selatan, hanya 5 menit ke RS Kota Mataram. SHM. NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 082341777336"
12,16 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7439307/,Rp. 270.000.000,"Gunung Sari, Lombok Barat",90,36,2,1,0,0,0,0,0,SHM,Perumahan Bellpark 2 Kekeri Gunung sari Lombok barat R181,"Perumahan Bellpark 2 Kekeri Gunung sari Lombok barat Lokasi : Kekeri Gunung sari Luas : 36/90 M2Harga : Rp. 270,000,000 Keterangan : Perumahan Bellpark 2 Kekeri Gunung sari Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Dengan fasilitas pendukung seperti Kolam renang, masjid, TK dan Paud dan taman bermain. Hanya 3 menit ke Jalan Jendral Sudirman Rembiga. SHM. NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 082341777336"
13,17 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7442436/,Rp. 168.000.000,"Gerung, Lombok Barat",80,27,2,1,0,0,0,0,0,SHM,Rumah subsidi Alam Tembesi Asri Gerung Lombok barat S042,"Rumah subsidi Alam Tembesi Asri Gerung Lombok barat Lokasi : Banyu urip, Gerung Luas : 27/80 M2 Harga : Rp. 168,000,000 Keterangan : Rumah subsidi Alam Tembesi Asri Gerung Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Rumah sudah ready, hanya tersisa 11 unit saja. Ayo segera booking sebelum kehabisan!!! NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 087850177779."
14,17 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7442598/,Rp. 750.000.000,"Batu Layar, Lombok Barat",212,130,3,2,0,0,1,0,0,SHM,Rumah type 130/212 M2 dan isinya di Perumahan Permata hijau Batu Layar R182,"Rumah type 130/212 M2 dan isinya di Perumahan Permata hijau Batu Layar Lokasi : Meninting Batu Layar Lombok barat Luas : 130/212 M2 Harga : Rp. 750,000,000/global Keterangan : Rumah type 130/212 M2 dan isinya di Perumahan Permata hijau Batu Layar. Terdiri dari 3 kamar tidur, 2 kamar mandi, ruang tamu, ruang keluarga, dapur dengan kitchen set, halaman samping yg luas, halaman depan, gazebo, taman, dan garasi. SHM. NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 082341777336"
15,17 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7442807/,Rp. 350.000.000,"Batu Layar, Lombok Barat",97,78,2,2,0,0,1,0,0,SHM,Rumah type 78/97 M2 dan isinya di Perumahan Bintang Senggigi Batu Layar R183,"Rumah type 78/97 M2 dan isinya di Perumahan Bintang Senggigi Batu Layar  Lokasi : Jl. Teratai Senteluk Batu Layar Lombok barat Luas : 78/97 M2 Harga : Rp. 350,000,000/global Keterangan : Rumah type 78/97 M2 dan isinya di Perumahan Bintang Senggigi Batu Layar. Terdiri dari 2 kamar tidur, 2 kamar mandi, ruang tamu, ruang keluarga, dapur besar dengan kitchen set, taman depan, taman belakang, dan garasi. SHM. NB : Kami tidak dapat menjawab pertanyaan melalui marketplace karena keterbatasan waktu tenaga, jika ada pertanyaan silakan WA: 082341777336"
16,31 Oktober 2020,https://www.rumah123.com/properti/lombok-barat/hos7496846/,Rp. 750.000.000,"Kediri, Lombok Barat",86,200,3,2,0,0,1,0,4400,SHM,Rumah 3 lantai dan isinya di Perumahan Griya Rumak Asri Kediri R184,"Dijual Rumah 3 lantai type 200/86 M2 dan isinya di Perumahan Griya Rumak Asri Kediri Lokasi : Kediri Lombok barat Luas : 200/86 M2 Harga : Rp. 750,000,000/global Keterangan : Rumah 3 lantai type 200/86 M2 dan isinya di Perumahan Griya Rumak Asri Kediri. Terdiri dari 3 kamar tidur full AC, 2 kamar mandi, 1 kamar mandi atas dengan shower box dan water heater, dapur dengan kitchen set, ruang keluarga, ruang tamu, carport dan gazebo di lantai 3/rooftop. Dengan fasilitas one gate system, security 24 jam, PDAM, listrik 4,400 watt, CCTV 4 titik, lantai 1 dan 2 full granit, lantai 3 full keramik. Terletak di jalur protokoler. Ke Kota Mataram 10 menit, ke bandara 25 menit, ke pelabuhan 25 menit. SHM."
17,4 November 2020,https://www.rumah123.com/properti/lombok-barat/hos7512428/,Rp. 265.000.000,"Lembar, Lombok Barat",73,36,2,1,0,0,0,0,0,SHM,Rumah Anti gempa standar Jepang di Lembar Lombok barat R185,"Rumah Anti gempa standar Jepang di Lembar Lombok barat Lokasi : Lendang Jae Lembar Lombok barat Luas : 36/73 M2 Harga : mulai dari Rp. 265,000,000/unit. Keterangan : Perumahan Ione Home Residence di Lembar Lombok barat. Terdiri dari 2 type rumah yaitu type 36 dan type 45 dengan 2 kamar tidur dan 1 kamar mandi. Pondasi bangunan kualitas standar jepang, lebih kuat dan tahan gempa."
18,8 Januari 2020,https://www.rumah123.com/properti/lombok-barat/hos5867202/,Rp. 1.400.000.000,"Batu Layar, Lombok Barat",216,168,2,2,0,0,0,0,0,SHM,Rumah di Montong,"Rumah di Montong code : 257 Luas tanah 216 m2 Luas bangunan 168 m2 Terdiri dari 2 kamar tidur + 2 kamar mandi Ruang tamu, ruang keluarga, gazebo, dapur. Kolam renang. Kolam ikan Harga Rp 1,4 Milyar"
19,7 Desember 2020,https://www.rumah123.com/properti/lombok-barat/hos7643572/,Rp. 270.000.000,"Batu Layar, Lombok Barat",100,36,2,1,0,0,1,0,1300,SHM,Perumahan Villa Sandik di Batu Layar Lombok barat R188,"Perumahan Villa Sandik di Batu Layar Lombok barat. UNIT PESAN BANGUN!!! Lokasi : Jl. Pariwisata, Sandik Batu Layar Luas standar : 36/100 M2. Harga : mulai dari Rp. 270,000,000 Keterangan : Perumahan Villa Sandik di Batu Layar Lombok barat. Hunian bernuansa villa dengan lingkungan asri dan nyaman. Dengan fasilitas one gate system, PDAM, Listrik 1.300 kwh. Terdiri dari 4 type perumahan. DP minimal 20% sudah bisa dibangunkan unit rumah, dengan proses pembangunan selama 3 bulan."
20,21 Maret 2019,https://www.rumah123.com/properti/lombok-barat/hos4385930/,Rp. 2.450.000.000,"Senggigi, Lombok Barat",478,200,2,2,0,0,1,0,0,SHM,Fantastic Buy - Freehold Beachside Villas @ Sengigi - Lombok - 1675 - P,"Gorgeous beachside villas in a secure complex of 6 independently owned and operated newly built residences, in a fabulous seaside setting just 6 km from Sengigi, on the West coast of Lombok. Each villa features open plan living spaces that can be enclosed, two generously sized en-suite bedrooms, beautifully landscaped tropical gardens and of course a pool. Easily accessible from Bali by fast boat, the area offers untouched natural beauties at Bali prices 20 years ago! Built to international standards to an experienced European developper. Show villa ready for inspection! . Newly built modern villas in a complex of 6, gorgeous beachside setting. Land size from 470 m2 to 874 m2, secure complex of 6 residences. Two bedroom pool villas with open plan living that can be closed off. Two generously sized bedrooms, each with en-suite bathroom. Quality materials finished used by the European developer. Beautifully landscaped gardens, paved access, secure private"
21,9 Desember 2020,https://www.rumah123.com/properti/lombok-barat/hos7650488/,Rp. 460.000.000,"Batu Layar, Lombok Barat",127,120,3,2,0,0,0,1,0,SHM,Rumah di Meninting Garden,"Rumah di Meninting Garden
code : 822
Luas tanah 127 m2
Terdiri dari 3 kamar tidur + 2 kamar mandi
Ruang tamu, ruang keluarga, dapur, garasi.
Harga Rp 460 juta"
22,9 Desember 2020,https://www.rumah123.com/properti/lombok-barat/hos7651596/,"Rp210.000.000,00","Pemenang, Lombok Barat",100,71,1,1,0,0,0,0,0,SHM,Beachfront villa Gili Meno Lombok Nusa Tenggara Barat,"Sebuah resor tepi pantai terletak di lanskap yang subur dan indah di Gili Meno,Lombok.Hanya 5 menit dari Gili Trawangan dan 1,5 jam dari Padang Bai,Bali.

Dibangun dari bahan-bahan alami yang merangkul keindahan alam dalam desainnya,Perpaduan yang sempurna antara kenyamanan modern dengan gaya tradisional.

Esensi tropis pulau begitu tercermin dalam setiap detailnya rona bumi yang menenangkan, lantai kayu, atap jerami dan tata letak yang menangkap cahaya alami dan juga sepoi dari angin laut.

Hanya selangkah dari pasir putih dan air laut yang sebening kristal benar-benar seperti surga di bumi.
Luas tanah : 100 m2
Luas bangunan : 71 m2
Kamar tidur : 1
Kamar mandi : 1
Private pool
Fully furnished
Freehold
Garansi ROI"
23,29 Desember 2020,https://www.rumah123.com/properti/lombok-barat/hos7721554/,"Rp550.000.000,00","Gunung sari, Lombok Barat",150,100,2,2,0,0,0,0,0,SHM,Rumah BTN belencong,"Rumah BTN belencong
code : 899
luas tanah 150m2
Siap utk djadikan lantai 2.
Kmar mndi 2
Kmar tidur 2
Ruang kluarga
Ruang tamu
Include barang2 yg ada d dlamnya
Harga Rp. 550 juta"
24,15 Januari 2021,https://www.rumah123.com/properti/lombok-barat/hos7784578/,"Rp400.000.000,00","Batu Layar, Lombok Barat",122,54,3,2,0,0,0,1,1300,SHM,"Rumah, SHM, Strategis di Jl.Raya Meninting Perumahan Grandvilla Meninting, Blok D/5 Kelurahan Meninting, Kecamatan Batu Layar, Lombok Barat","Rumah eksklusif dengan spesifikasi:
1 Berada di tengah Lombok Barat
2 Aksesibilitas mudah
3 PAM dan Listrik
4. Bangunan kokoh dan layak huni

Yuk buruan dibeli"
25,15 Januari 2021,https://www.rumah123.com/properti/lombok-barat/hos7784624/,"Rp250.000.000,00","Batu Layar, Lombok Barat",114,40,3,2,0,0,0,1,1300,SHM,"Rumah, SHM, Strategis di Perumahan sandik Village Kav 12 Desa Sandik, Kecamatan Batu Layar","Rumah eksklusif dengan spesifikasi:
1 Berada di tengah Lombok Barat
2 Aksesibilitas mudah
3 PAM dan Listrik
4. Bangunan kokoh dan layak huni

Yuk buruan dibeli"
26,31 Januari 2021,https://www.rumah123.com/properti/lombok-barat/hos7852657/,"Rp100.000.000,00","Labuapi, Lombok Barat",70,45,2,1,0,0,0,0,0,SHM,Over kredit Rumah subsidi di Perumahan Lantana Garden Labu Api S045,"Over kredit Rumah subsidi di Perumahan Lantana Garden Labu Api

Lokasi : Terong tawah Labu Api Lombok barat

Luas : 45/70 M2

Harga : Rp. 100,000,000

Keterangan : Over kredit Rumah subsidi di Perumahan Lantana Garden Labu Api Lombok barat. Terdiri dari 2 kamar tidur dan 1 kamar mandi. Rumah sudah direnovasi, dibangun dapur dan di dak. Angsuran Rp. 1,430,000/bulan, sudah berjalan 3 tahun 1 bulan dengan tenor selama 10 tahun."
27,21 Februari 2021,https://www.rumah123.com/properti/lombok-barat/hos7945413/,"Rp370.000.000,00","Batu Layar, Lombok Barat",120,52,2,1,0,0,1,0,1300,SHM,Rumah di Lombok barat di Montong Batu Layar R155,"Dijual Rumah di Lombok barat di Montong Batu Layar

Lokasi : Montong, Batulayar

Luas : type 52/130 M2 dan type 52/120 M2

Harga :

* Type 52/120 M2 Rp. 370.000.000

*Type 52/130 M2 Rp. 380.000.000

Keterangan : Rumah di Lombok barat di Montong Batu Layar. Terdiri dari 2 kamar tidur, 1 kamar mandi, ruang tamu, ruang keluarga, dapur, teras depan, teras belakang, carport. Listrik 1.300 watt, air sumur bor.

Jarak lokasi ke jalan raya +-200 meter, lebar jalan masuk +- 5 meter. Terdiri dari 2 type rumah. Bonus 2 unit tempat tidur ukuran 160 dan kitchen set untuk pembeli pertama. Rumah sudah ready 2 unit."
28,13 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8029495/,"Rp2.300.000.000,00","senggigi, Lombok Barat",500,200,4,4,0,0,0,1,0,SHM,Villa di Senggigi Batu Layar dan isinya V033,"Villa Dijual di Senggigi Batu Layar dan isinya

Lokasi : Senggigi Batu Layar Lombok barat

Luas : 200/500 M2

Harga : Rp. 2,300,000,000/global

Keterangan : Villa Dijual di Senggigi Batu Layar dengan view bukit Kerandangan. Terdiri dari 4 kamar tidur, 4 kamar mandi, ruang tamu, ruang keluarga, dapur dengan kitchen set dan mini bar, ruang cuci, garasi dan halaman yg cukup luas.

Bangunan berbentuk L, di bagian rooftop terdapat area untuk Barbeque dengan konsep alam, juga terdapat kolam renang pribadi. Legalitas sudah SHM."
29,13 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8030084/,"Rp168.000.000,00","Labuapi, Lombok Barat",75,30,1,1,0,0,0,0,0,SHM,Rumah subsidi Lombok barat Griya Permata armai S046,"Rumah subsidi Lombok barat Griya Permata Armai

Lokasi : Desa Karang Bongkot Perampuan Labu Api

Luas : 30/75 M2

Harga : Rp. 168,000,000

Keterangan : Rumah subsidi Griya Permata armai di Labu Api Lombok barat. Terdiri dari 1 kamar tidur dan 1 kamar mandi. Free Sofa tempat tidur dan kompor gas (setelah realisasi).

Bangunan sudah ready 5 unit, dan masih berjalan proses pembangunan. Akses jalan masuk ke lokasi bisa melalui Perumahan Panorama Alam Perampuan Labu Api. Legalitas sudah SHM."
30,17 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8044160/,"Rp750.000.000,00","Batu Layar, Lombok Barat",200,150,4,2,1,0,0,1,0,SHM,Rumah di kompleks green raflesia Meninting,"Rumah di kompleks green raflesia Meninting
code : 911
Luas tanah 200 m2
4 kamar tidur + 2 kamar mandi
Ruang tamu, ruang keluarga, dapur, garasi
1 kamar pembantu
Harga Rp 750 juta"
31,18 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8047578/,"Rp650.000.000,00","Gunung Sari, Lombok Barat",200,160,3,2,0,0,0,1,0,SHM,Rumah di Gunung Sari Lombok Barat,"Rumah di Gunung Sari Lombok Barat
code : 915
Luas tanah 200 m2
Luas bangunan 160 m2
3 kamar tidur + 2 kamar mandi
Ruang tamu, ruang keluarga, dapur, garasi
Harga Rp 650 juta"
32,19 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8051733/,"Rp257.000.000,00","Batu Layar, Lombok Barat",71,26,2,1,0,0,1,0,0,SHM,Rumah di kompleks Ayodya Meninting,"Rumah di kompleks Ayodya Meninting
code : 918
Luas tanah 71 m2
Luas bangunan 26 m2
2 kamar tidur + 1 kamar mandi
Carport, Garden
Kompleks strategis di pinggir jalan raya Meninting
Listrik, PDAM
SHM
Harga Rp 257 juta"
33,24 Maret 2021,https://www.rumah123.com/properti/lombok-barat/hos8072723/,"Rp230.000.000,00","Batu Layar, Lombok Barat",71,26,2,1,0,0,1,0,900,SHM,Rumah BTN Lombok barat di Perumahan Ayodhya Meninting Batu Layar R161,"Rumah BTN Lombok barat di Perumahan Ayodhya Meninting Batu Layar

Lokasi : Meninting Batu Layar Lombok barat

Luas : 26/71 M2

Harga : Rp. 230,000,000/global

Keterangan :

Rumah BTN Ayodhya Palace Meninting Batu Layar.

- 2 kamar tidur

- 1 kamar mandi

- Dapur

- Carpot

- Garden

- One gate system

- PDAM

- Listrik 900 kwh

- Tembok keliling dan pagar

- Lokasi strategis, dekat ke kawasan wisata Pantai

- ATM

- Mini market

- Pom bensin

- Bebas banjir

- Lebar jalan 6 meter

- Legalitas SHM.

"
34,2 April 2021,https://www.rumah123.com/properti/lombok-barat/hos8114607/,"Rp800.000.000,00","Gunung Sari, Lombok Barat",240,320,3,4,0,0,0,1,0,SHM,Rumah BTN Lombok barat di Perumahan Bumi selaparang Asri Blencong R209,"Rumah BTN Lombok barat di Perumahan Bumi selaparang Asri Blencong
Lokasi : Blencong Gunung sari

Luas : 320/240 M2

Harga : Rp. 800,000,000/global"
35,,https://www.lamudi.co.id/rumah-plus-toko-pinggir-jalan-di-lombok-barat-narmada-r204.html,"Rp850.000.000,00","Keru Narmada, Lombok Barat",294,124,3,2,0,0,0,1,900,SHM,Rumah plus toko pinggir jalan di Lombok barat Narmada,"Lokasi : Desa Golong, Keru Narmada

Luas : 123/294 M2

Harga : Rp. 850,000,000/global

Keterangan :

Rumah plus toko pinggir jalan di Lombok barat Narmada

- Rumah ukuran 4 x 7,5 meter 2 lantai

- 1 kamar tidur di atas, 2 kamar tidur di bawah

- 1 kamar mandi di atas, 1 kamar mandi di bawah

- Ruang tamu

- Dapur

- Garasi

- Toko ukuran 9 x 7 meter

- Kolam ikan ukuran 5 x 11 meter

- Listrik 900 kwh

- Mata air

- Lokasi strategis

- Dekat dengan daerah Wisata Narmada

- Cocok untuk alfamart/indomaret

- Legalitas SHM."
36,,https://www.lamudi.co.id/rumah-2-lantai-di-montong-r048.html,"Rp800.000.000,00","Batu Layar, Lombok Barat",150,150,2,1,0,0,0,0,0,HGB,Rumah 2 Lantai di Montong R048,"Dijual/Disewakan Rumah

Lokasi: Montong, Batu Layar, Lombok Barat

Luas: 150 M²

Harga jual: Rp. 800.000.000/Global

Harga sewa: Rp. 45.000.000/tahun

Keterangan: Rumah 2 lantai di dalam perumahan kawasan wisata, Banyak dihuni bule, 2 Kamar tidur, status Legalitas HGB"
37,,https://www.lamudi.co.id/rumah-di-meninting-regency-1.html,"Rp800.000.000,00",Lombok Barat,154,154,2,2,0,0,0,1,0,-,Rumah di Meninting Regency,"Rumah di Meninting Regency 

code : 839

Luas tanah 154 m2. 

Terdiri dari 2 kamar tidur dan 2 kamar mandi. 

Ruang tamu, ruang keluarga, dapur, garasi. 

Halaman depan dan belakang masih tersedia.

Kompleks perumahan aman dan nyaman one gate  

Share pool di kompleks perumahan. 

Harga Rp 800 Juta (nego)"
38,,https://www.lamudi.co.id/rumah-3-kamar-di-batu-layar-lombok-r033.html,"Rp750.000.000,00",Lombok Barat,120,100,3,2,0,0,0,1,1300,SHM,Rumah 3 kamar di Batu Layar Lombok R033,"Dijual Rumah 3 kamar di Batu Layar Lombok

Lokasi: Montong

Luas: 120 M2

Harga: Rp. 750.000.000

Keterangan: Rumah di dalam perumahan di daerah wisata Montong Batu Layar. Kamar tidur : 3, Kamar mandi : 2, Ruang tamu : 1, Ruang dapur : 1, listrik 1.300, Air PDAM, Legalitas : SHM"
39,1 Desember 2019,https://www.lamudi.co.id/dijual-rumah-baru-dekat-kota-mataram.html,"Rp720.000.000,00",Lombok Barat,200,150,3,2,0,0,0,1,0,SHM,DIJUAL RUMAH BARU DEKAT KOTA MATARAM,"Rumah Komersial Baru sangat dekat dengan Kota Mataram..

Masih Gress Kelar Bangun Desember 2019

Dijual santai karena mau pindah city



ﾾ ﾠ5 menit ke Kota Mataram

ﾾ ﾠLokasi Perumahan Pemprov NTB. Duman, Kec. Lingsar

ﾾ ﾠKualitas bangunan oke banget (cek gambar aja Gan..)

ﾾ ﾠSangat dekat dengan SD, SMP, SMA

ﾾ ﾠLuas Tanah 200 M2

ﾾ ﾠLuas Bangunan 150 M2

ﾾ ﾠLengkap IMB + sertiflkat

ﾾ ﾠHarga 720 jutaan. ﾠ

ﾾ ﾠInfo chat aja Gan.. Adhi"
40,,https://www.lamudi.co.id/rumah-di-praya-barat-grand-batujai-residence-lombok.html,"Rp324.000.000,00","Praya Barat, Lombok Tengah",84,48,2,1,0,0,0,0,0,SHM,RUMAH DI PRAYA BARAT - GRAND BATUJAI RESIDENCE - LOMBOK,"Miliki segera!!!

Hunian strategis dengan harga terjangkau 

Lokasi bypass dekat dari Bandara Internasional Lombok 

Praya Barat - Lombok tengah 



PROMO HARGA TERMURAH ""GRAND BATUJAI RESIDENCE""

HARGA MULAI 320 JUTA-AN

Tersedia type 48/84 dan type 60/113



Keunggulan: 

-Dekat dari Bandara International Lombok yang merupakan pintu masuk 

bagi wisatawan yang berkunjung ke Lombok

-Adanya sirkuit GP di daerah Lombok Tengah yang diprediksi adanya peningkatan 

harga hunian

-Harga terjangkau yang merupakan harga promosi awal tahun

-Bangunan baru dan paten dengan design minimalis modern 

-Lokasi mudah dijangkau dimana kompleks perumahan berada di pinggir jalan bypass Bandara

-Keamanan terjamin dengan security 24 jam dan satu pintu masuk (one gate system)

-Dekat dari kawasan wisata Bendungan Batujai yang ramai dikunjungi wisatawan lokal



Segera hubungi Kantor Pemasaran

Kompleks Pertokoan/ Ruko Batujai Square

Jl. Bypass BIL Batujai - Lombok Tengah"
42,,https://www.lamudi.co.id/rumah-murah-di-perumahan-pesona-gerunung-asri-praya-r174.html,"Rp141.800.000,00","Praya, Lombok Tengah",100,24,1,1,0,0,0,1,0,SHM,Rumah murah di Perumahan Pesona Gerunung Asri Praya R174,"Perumahan Pesona Gerunung Asri Praya Lombok tengah. Terdiri dari 1 kamar tidur dan 1 kamar mandi. Lokasi strategis, terletak sekitar 5 menit dari kota Praya, dekat dengan fasilitas sekolah, pesantren dan rumah sakit, bebas banjir. Sistem pembayaran dengan cash, cash bertahap dan KPR."
